"id","pid","extype","orig_phrase","sub_phrase","effect"
"1124","id9b42b4c9072cd8","4","I have a doctor's appointment for 11:00 on Tuesday.","I have a doctor's appointment for 11:00 on Tuesday. ","1"
"1125","id9b42b4c9072cd8","4","How do you like the Blackberry?","How do you like the Blackberry? ","1"
"1126","id9b42b4c9072cd8","5","Check and find out form?","Check and find out form? ","1"
"1127","id9b42b4c9072cd8","5","If not can I call you?","If not can i call you? ","1"
"1128","id9b42b4c9072cd8","5","Are you going to call?","Are you going to call? ","1"
"1129","id9b42b4c9072cd8","5","Do you need it today?","Do you need it today ? ","1"
"1130","id9b42b4c9072cd8","5","Both of us are still here.","Both of us are still here. ","1"
"1131","id9b42b4c9072cd8","5","Hope your week is going well.","Hope your week is gooing well. ","1"
"1132","id9b42b4c9072cd8","5","I would like to attend if so.","I would like to attend if so. ","1"
"1133","id9b42b4c9072cd8","5","I will be back Friday.","I will be back Friday. ","1"
"1134","id9b42b4c9072cd8","5","What is the purpose of this?","What is the purpose of this?","1"
"1135","id9b42b4c9072cd8","5","This seems fine to me.","This seems fine to me. ","1"
"1136","id9b42b4c9072cd8","5","I am walking in now.","I am walking in now. ","1"
"1137","id9b42b4c9072cd8","5","I am on my way.","I am on my way. ","1"
"1138","id9b42b4c9072cd8","5","This is good I think.","This is good i think. ","1"
"1139","id9b42b4c9072cd8","5","I hope you are feeling better.","I hope you are felling better. ","1"
"1140","id9b42b4c9072cd8","5","We just need a sitter.","We just need a sitter. ","1"
"1171","iddb3d6b37d1c9a","3","I was planning to attend.","I was planning to attend.","1"
"1172","iddb3d6b37d1c9a","3","We just pulled schedules from the web.","We just pulled schedules from the web.","1"
"1173","iddb3d6b37d1c9a","3","I'm in a meeting until noon.","I'm in a meeting until noon.","1"
"1174","iddb3d6b37d1c9a","3","Remember blackberry doesn't work so well at home.","Remember blackberry doesn't work well at home.","1"
"1175","iddb3d6b37d1c9a","3","I plan to be in the office tomorrow.","I plan to be in the office tomorrow.","1"
"1176","iddb3d6b37d1c9a","3","I have a high level in my office.","I have a high level in my office.","1"
"1177","iddb3d6b37d1c9a","3","The rest is a byproduct of slapshot.","The rest is a byproduct of ","1"
"1178","iddb3d6b37d1c9a","3","Have I mentioned how much I love Houston traffic?","Have I mentioned how much I love Houston traffic.","1"
"1179","iddb3d6b37d1c9a","3","I will be back Friday.","I will be back Friday.","1"
"1180","iddb3d6b37d1c9a","3","I'm working on a liquidity forecast.","I'm working in a liquidy forecast.","1"
"1181","iddb3d6b37d1c9a","3","Would you mind doing the following?","Would you mind doing the following?","1"
"1182","iddb3d6b37d1c9a","3","Hope your trip to Florida was good.","Hope your Trip to Florida was great.","1"
"1183","iddb3d6b37d1c9a","3","Are you going to call?","Are you going to call?","1"
"1184","iddb3d6b37d1c9a","3","Do we have New York sorted out?","Do we have New York shorted out?","1"
"1185","iddb3d6b37d1c9a","3","Just in case we haven't invited any of them.","Just in case we haven't invited them.","1"
"1186","iddb3d6b37d1c9a","5","I am at the lake.","I am at the lake.","1"
"1187","iddb3d6b37d1c9a","5","I think that is the right answer.","I think that is the right answer.","1"
"1188","iddb3d6b37d1c9a","5","We can have wine and catch up.","We can have wine and catch up.","1"
"1189","iddb3d6b37d1c9a","5","Neil has been asking around.","Neil had been adking around.","1"
"1190","iddb3d6b37d1c9a","5","What is in the plan?","Ehat is in the plan?","1"
"1191","iddb3d6b37d1c9a","5","You have a nice holiday too.","You have a nice holiday too.","1"
"1192","iddb3d6b37d1c9a","5","What is the cost issue?","What is the cost issue?","1"
"1193","iddb3d6b37d1c9a","5","If not can I call you?","If not can I call you?","1"
"1194","iddb3d6b37d1c9a","5","How soon do you need it?","How soon do tou need it?","1"
"1195","iddb3d6b37d1c9a","5","This is good I think.","This is good I think.","1"
"1196","iddb3d6b37d1c9a","5","Are you being a baby?","Are you being a baby?","1"
"1197","iddb3d6b37d1c9a","5","Will you come get me?","Will you come get me?","1"
"1198","iddb3d6b37d1c9a","5","Do you need it today?","Do you need it today?","1"
"1199","iddb3d6b37d1c9a","5","This seems fine to me.","This seems fine to me.","1"
"1200","iddb3d6b37d1c9a","5","What is the purpose of this?","Ehat is the purpose of this?","1"
"1201","iddb3d6b37d1c9a","4","The meteor shower was incredible last night.","The meteor shower was amazing last night.","1"
"1202","iddb3d6b37d1c9a","4","Will call when I leave.","Ill call when I leave.","1"
"1203","iddb3d6b37d1c9a","4","We went to Palacios to fish.","We went to Palacios to fish.","1"
"1204","iddb3d6b37d1c9a","4","Who should I contact regarding severance?","Who should I contact regarding severance?","1"
"1205","iddb3d6b37d1c9a","4","We're planning to go to West Virginia for Christmas.","We're planning to go to West Virginia for Christmas.","1"
"1206","iddb3d6b37d1c9a","4","If so he probably will have to pay back.","If so he probably will have to pay back.","1"
"1207","iddb3d6b37d1c9a","4","I don't know that I will be back Monday.","I don't know that I will ve back Monday.","1"
"1208","iddb3d6b37d1c9a","4","I guess that's additive to my stretch?","I guess that's additive to my stretch?","1"
"1209","iddb3d6b37d1c9a","4","How do you like the Blackberry?","How do you like the Blackberry?","1"
"1210","iddb3d6b37d1c9a","4","Meeting with Alaska Governor Tony Knowles on November 30th.","Meeting with Alaska governor Tony Mowles 30 November.","1"
"1211","iddb3d6b37d1c9a","4","Producers reacting to price management.","Producers reacting to price management.","1"
"1212","iddb3d6b37d1c9a","4","Any interest in chatting about a job at UBS?","Any interest about chatting a job at UBS?","1"
"1213","iddb3d6b37d1c9a","4","Let me know where you might be.","Let me know where you will be.","1"
"1214","iddb3d6b37d1c9a","4","I'm looking forward to the long weekend!","I'm looking forward for the long weekend.","1"
"1215","iddb3d6b37d1c9a","4","San Francisco was Interconnect meeting.","San Francisco was Interconnect meeting.","1"
"1216","iddb3d6b37d1c9a","6","Target customers: Munis, Wapa, BPA.","Target customera: Munis, Wapa, BPA.","1"
"1217","iddb3d6b37d1c9a","6","9:00 AM every second Saturday with Michelle.","9:00 AM every second Saturday with Michael.","1"
"1218","iddb3d6b37d1c9a","6","We sold the UK business to AEP.","We sold the UK business at AEP.","1"
"1219","iddb3d6b37d1c9a","6","He is at 281 350 8441.","He is at 281 350 3441.","1"
"1220","iddb3d6b37d1c9a","6","If this has already been covered, then I apologize.","If this has already been settled, then I apologize.","1"
"1221","iddb3d6b37d1c9a","6","Please send to Hartsoe for comment.","Please send to Hartsoe to aprrove it.","1"
"1222","iddb3d6b37d1c9a","6","I don't know that I will be back Monday.","I dont know that I will be back Monday.","1"
"1223","iddb3d6b37d1c9a","6","Yes still need it - when are you back?","Yes still need it - when you will be back?","1"
"1224","iddb3d6b37d1c9a","6","I guess that's additive to my stretch?","I guess that's additive to my stretch?","1"
"1225","iddb3d6b37d1c9a","6","She was leaving Omaha for Houston at 4:00.","She was leaving Ohama for Houston at 4:00.","1"
"1226","iddb3d6b37d1c9a","6","Can we go to 150/150 with Foster?","Can we go for 150/150 with Foster?","1"
"1227","iddb3d6b37d1c9a","6","I'm looking forward to the long weekend!","I'm looking forward to the long weekend.","1"
"1228","iddb3d6b37d1c9a","6","The filing concerns various scheduling and balancing rules.","The filling regards various schecudilng and rules.","1"
"1229","iddb3d6b37d1c9a","6","What Enron entity owns the EOTT GP?","What Enron entity owns EOTTGP?","1"
"1230","iddb3d6b37d1c9a","6","Mark Ellenberg is off for Passover.","Mark Ellenber is of for Passover.","1"
"1231","iddb3d6b37d1c9a","2","9:00 AM every second Saturday with Michelle.","9:00 AM every second Saturday with Michelle.","1"
"1232","iddb3d6b37d1c9a","2","Ava, LA was Socal meeting.","Ava, LA wad sockal meeting.","1"
"1233","iddb3d6b37d1c9a","2","We are sitting in Weil's offices, waiting to negotiate.","We are sitting at Weil's office ","1"
"1234","iddb3d6b37d1c9a","2","If possible, I'd like to get Amy's opinion.","If possible, I'd like to get Amy's opinion.","1"
"1235","iddb3d6b37d1c9a","2","What Enron entity owns the EOTT GP?","What Enron entity owns the EOTTGP?","1"
"1236","iddb3d6b37d1c9a","2","I saw your 5:30 AM message!","I saw your 5:30 AM message!","1"
"1237","iddb3d6b37d1c9a","2","The SoCal meeting was very beneficial.","The soCal meeting eas very beneficial.","1"
"1238","iddb3d6b37d1c9a","2","I guess that's additive to my stretch?","ai guess that's additive to my stretch?","1"
"1239","iddb3d6b37d1c9a","2","Producers reacting to price management.","Producers reacting to price management.","1"
"1240","iddb3d6b37d1c9a","2","Lisa Mellencamp on any issues regarding pending litigation.","Liea Mellencap","1"
"1241","iddb3d6b37d1c9a","2","Can we go to 150/150 with Foster?","Can we go to 150/150 with Foster?","1"
"1242","iddb3d6b37d1c9a","2","FYI I saw Ken Caminiti at Animal Kingdom yesterday!","FYI I saw Ken Caminiti at animal's Kingdom yesterday!","1"
"1243","iddb3d6b37d1c9a","2","My home email is kay.mann@worldnet.att.net.","My home email is ken..worldnet.net.org","1"
"1244","iddb3d6b37d1c9a","2","Budget allocation from Glisan has been postponed.","Budget allocation from Glitnst ","1"
"1245","iddb3d6b37d1c9a","2","Can I meet with you at 4:00?","Can I meet you at 4:00?","1"
"1246","iddb3d6b37d1c9a","1","Suggest you get facts before judging anyone.","Suggest you getting facts before judgin anyone.","1"
"1247","iddb3d6b37d1c9a","1","We need to talk about this month.","We need to talk about this month.","1"
"1248","iddb3d6b37d1c9a","1","I will be back Friday.","I will be back Friday.","1"
"1249","iddb3d6b37d1c9a","1","Do we have anyone in Portland?","Do we have anyone in Portland?","1"
"1250","iddb3d6b37d1c9a","1","Don't they have some conflicts here?","Don't they have some conflicts here?","1"
"1251","iddb3d6b37d1c9a","1","Did you talk to Ava this morning?","Did you talk to Ava this morning?","1"
"1252","iddb3d6b37d1c9a","1","Should systems manage the migration?","Should systems manage the migration?","1"
"1253","iddb3d6b37d1c9a","1","I hope you are feeling better.","I hope you are feeling better.","1"
"1254","iddb3d6b37d1c9a","1","Can you help get this cleared up?","Can you help get this cleared up?","1"
"1255","iddb3d6b37d1c9a","1","Is this the only time available?","Is this the only time available?","1"
"1256","iddb3d6b37d1c9a","1","You can talk to Becky!","You can talk to Becky!","1"
"1257","iddb3d6b37d1c9a","1","Ava, do we need to worry about this?","Ava, do we need to worry about this?","1"
"1258","iddb3d6b37d1c9a","1","It's not looking too good is it?","It's not looking too good is it?","1"
"1259","iddb3d6b37d1c9a","1","We don't seem to have any positive income there.","We don't seem to have any positive incame there.","1"
"1260","iddb3d6b37d1c9a","1","I changed that in one prior draft.","I changed that in one prior draft.","1"
"1516","5f00fa2353b5c10c934298fa","1","Don't they have some conflicts here?","Don't they have some conflicts there?","1"
"1517","5f00fa2353b5c10c934298fa","1","I hope you are feeling better.","I hope you are feeling better.","1"
"1518","5f00fa2353b5c10c934298fa","1","I sent it to her.","I sent it to her.","1"
"1519","5f00fa2353b5c10c934298fa","1","This is good I think.","This is good I think.","1"
"1520","5f00fa2353b5c10c934298fa","1","I am now officially a Blackberry addict.","I am now officially a Blackberry addict","1"
"1521","5f00fa2353b5c10c934298fa","1","I think that is the right answer.","I think that is the right answer. ","1"
"1522","5f00fa2353b5c10c934298fa","1","We can have wine and catch up.","We can have wine and catch up.","1"
"1523","5f00fa2353b5c10c934298fa","1","Are you getting all the information you need?","Are you getting all the information you need?","1"
"1524","5f00fa2353b5c10c934298fa","1","Did you talk to Ava this morning?","Did you talk to Ava this morning?","1"
"1525","5f00fa2353b5c10c934298fa","1","Thursday works better for me.","Thursday works better for me.","1"
"1526","5f00fa2353b5c10c934298fa","1","Hopefully this can wait until Monday.","Hopefully this can wait until Monday.","1"
"1527","5f00fa2353b5c10c934298fa","1","Take what you can get.","Take what you can get.","1"
"1528","5f00fa2353b5c10c934298fa","1","Do we have anyone in Portland?","Do we have anyone in Portland?","1"
"1529","5f00fa2353b5c10c934298fa","1","I have a high level in my office.","I have a high level in my office.","1"
"1530","5f00fa2353b5c10c934298fa","1","I changed that in one prior draft.","I changed that in one prior draft.","1"
"1591","601a788b7ab49028cd7a4ad4","5","Will you come get me?","Will you come get me?","1"
"1592","601a788b7ab49028cd7a4ad4","5","Get with Mary for format.","Get with Mary for format","1"
"1593","601a788b7ab49028cd7a4ad4","5","I'll call you in the morning.","I'll call you in the morning. ","1"
