,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
16,I just got the most amazing gift for our anniversary!,Thanks for the surprise.,8,1,I've prepared a special meal for you tonight,Thanks for the surprise.,8,2,Thanks for the surprise.,5,mid,1.0,4,medium,medium,medium,low,high,high,2.2,2.0
17,Can you confirm your meeting with Greg tomorrow?,Spoke with Greg.,8,1,Have you spoken to Greg about the project's deadline?,Spoke with Greg.,9,2,Spoke with Greg.,4,mid,0.0,3,medium,low,low,low,low,low,1.0,1.4
18,where did you put the meeting notes?,I can't find it on my Blackberry.,4,3,Have you found the contact named 'Michael in Marketing'?,I can't find it on my Blackberry.,5,1,I can't find it on my Blackberry.,5,mid,3.0,7,low,medium,medium,high,low,medium,2.2,1.6
19,I'm feeling pretty stressed about the project deadline,And how would I be going for work?,8,2,Have you checked the traffic on your usual commute route?,And how would I be going for work?,8,2,And how would I be going for work?,3,low,0.0,8,low,medium,low,high,low,low,1.8,1.4
20,did you remember to buy milk?,I hoped you did.,8,1,Did you finish the report on time?,I hoped you did.,8,2,I hoped you did.,6,mid,0.0,4,low,low,low,low,low,low,1.0,1.0
21,who was the author of the novel 'The Power and the Glory'?,J. Robert Collins,5,3,Have you read J.D. Salinger's 'Catcher in the Rye'?,J. Robert Collins,0,3,J. Robert Collins,6,mid,2.0,3,low,,low,low,low,medium,1.4,1.0
22,Have you received the Sonoran project proposal?,Evaluating KMI lease offer on Sonoran project.,6,3,Have you received the latest KMI lease proposal for the Sonoran project?,Evaluating KMI lease offer on Sonoran project.,8,2,Evaluating KMI lease offer on Sonoran project.,4,mid,9.0,7,medium,high,medium,low,low,medium,2.2,2.4
23,"I'm already running late for my meeting with John, what's going on?","Early to my appointment, so I'm working some.",7,2,I see you have an early dentist appointment tomorrow.,"Early to my appointment, so I'm working some.",8,2,"Early to my appointment, so I'm working some.",4,mid,5.0,8,low,high,medium,high,low,low,2.2,2.0
24,can we make changes to the original project plan?,"OK to make changes, change out original.",8,2,Shall we adjust the marketing strategy for the new product?,"OK to make changes, change out original.",8,2,"OK to make changes, change out original.",5,mid,3.0,7,low,low,low,medium,low,low,1.2,1.0
25,When is the meeting scheduled to take place?,I heard it was at 5?,8,2,Did you hear the meeting was rescheduled?,I heard it was at 5,6,1,I heard it was at 5?,5,mid,2.0,6,low,high,medium,high,low,medium,2.6,2.0
26,have you received the package yet?,We'll let you know.,6,2,Have you decided on the venue for our meeting next week?,We'll let you know.,8,2,We'll let you know.,6,mid,0.0,4,low,low,low,low,low,low,1.0,1.0
27,I just got to the office and I'm starving. Where did everyone go for lunch?,Do you want to eat lunch somewhere before?,8,1,"I'm starving, let's find some food soon.",Do you want to eat lunch somewhere before?,9,1,Do you want to eat lunch somewhere before?,6,mid,3.0,8,medium,high,medium,low,medium,low,1.8,2.4
28,can you provide me with the latest sales figures?,Further out - will fax you price target slide.,4,3,Have you seen the latest stock market trend for XYZ corporation?,Further out - will fax you price target slide.,4,3,Further out - will fax you price target slide.,3,low,3.0,9,low,low,low,high,low,low,1.4,1.0
29,I'm looking for someone who has experience in data analysis. Do you know anyone?,"FYI, would she meet my requirements?",6,2,I'm looking for someone with excellent communication skills and strong problem-solving abilities.,"FYI, would she meet my requirements?",8,2,"FYI, would she meet my requirements?",5,mid,3.0,6,low,medium,medium,low,low,low,1.4,1.6
30,Why did the language model fail to predict my response?,Davis had not yet updated the model for this.,4,3,Have you finished implementing the new machine learning algorithm?,Davis had not yet updated the model for this.,5,3,Davis had not yet updated the model for this.,4,mid,5.0,9,low,low,low,high,low,low,1.4,1.0
31,Can you please come to the office?,Yes I am coming twice.,6,2,I'll be at the party tonight around 8 pm.,Yes I am coming twice.,7,1,Yes I am coming twice.,7,high,2.0,5,low,high,low,high,low,low,2.2,1.8
32,where did you leave the keys again?,Sorry I'm losing it.,8,3,Can you explain the concept of quantum physics?,Sorry I'm losing it.,0,3,Sorry I'm losing it.,4,mid,1.0,4,low,low,low,low,low,medium,1.4,1.0
33,Are you attending the meeting on Tuesday?,"If not, he's gone on Tuesday.",8,3,Did John mention he had a doctor's appointment next week?,"If not, he's gone on Tuesday.",5,1,"If not, he's gone on Tuesday.",4,mid,0.0,6,low,high,medium,high,low,low,2.2,2.0
34,I'm so grateful for your help today!,"Thank you, dear.",6,1,"I appreciate your help with my presentation, could you please check the data for errors?","Thank you, dear.",10,2,"Thank you, dear.",4,mid,1.0,3,low,low,low,low,low,low,1.0,1.0
35,Did you get the new job offer?,This looks good.,6,2,Have you checked the financial report for next quarter?,This looks good.,8,2,This looks good.,6,mid,0.0,3,low,high,high,high,low,low,2.2,2.2
36,Can you pick me up from the airport tomorrow?,Thanks so much for the message.,6,2,Can you pick up the milk on your way home?,Thanks so much for the message.,10,2,Thanks so much for the message.,6,mid,2.0,6,low,low,low,medium,low,low,1.2,1.0
37,can we schedule a meeting for tomorrow?,Let's start with this and add more later.,6,2,I'd like to suggest we read and discuss the 'Moby Dick' novel.,Let's start with this and add more later.,5,3,Let's start with this and add more later.,5,mid,3.0,8,medium,low,low,high,low,low,1.4,1.4
38,How can I help you with your new project?,Let me know if I can do anything.,4,2,I've been working on this project for hours and can't seem to make any progress.,Let me know if I can do anything.,8,3,Let me know if I can do anything.,6,mid,1.0,8,low,medium,low,low,low,medium,1.8,1.4
39,can i borrow your car tonight?,"no, but thank you for offering.",6,1,Would you like some unsweetened chocolate?,"No, but thank you for offering.",7,1,"No, but thank you for offering.",5,mid,2.0,6,low,low,low,low,low,low,1.0,1.0
40,What does it mean when a shipper retains fuel?,Fuel is retained in kind from the shippers.,8,3,The shipping company has notified us of an issue with the fuel supply for their vessel.,Fuel is retained in kind from the shippers.,7,2,Fuel is retained in kind from the shippers.,4,mid,4.0,8,medium,medium,low,low,low,medium,1.8,1.8
41,Are you going to be late for our meeting?,I'm in traffic.,8,2,Can you bring the blue folder to the meeting?,I'm in traffic.,8,2,I'm in traffic.,6,mid,1.0,3,low,high,medium,medium,low,medium,2.4,2.0
42,has he borrowed money from you before?,If so he probably will have to pay back.,7,2,John borrowed more money than he could repay.,If so he probably will have to pay back.,6,1,If so he probably will have to pay back.,3,low,5.0,9,low,high,medium,medium,low,low,2.0,2.0
43,have you seen him flirting with her again?,He can't help himself.,8,2,John always forgets his anniversary.,He can't help himself.,8,1,He can't help himself.,5,mid,1.0,4,medium,medium,low,high,low,medium,2.2,1.8
44,Have you received the latest project update from Steve?,I haven't heard back from Steve at all.,6,2,Have you talked to Steve about the project deadline?,I haven't heard back from Steve at all.,5,2,I haven't heard back from Steve at all.,5,mid,3.0,8,low,medium,medium,high,low,medium,2.2,1.6
45,the contract has been prepared and is ready for your signature,I have already approved and forwarded.,8,2,Have you processed and sent the marketing campaign to the clients?,I have already approved and forwarded.,8,2,I have already approved and forwarded.,5,mid,10.0,6,low,high,medium,high,medium,low,2.2,2.0
46,Can I borrow your car to visit my parents tomorrow?,Thanks for your offer.,8,1,I'd be happy to help you move next weekend.,Thanks for your offer.,10,1,Thanks for your offer.,5,mid,1.0,4,low,medium,medium,high,high,low,1.8,1.6
47,I just got into a bad accident on the highway,Was it a car wreck?,8,2,I saw an accident at the corner of Elm and Oak.,Was it a car wreck?,8,2,Was it a car wreck?,7,high,2.0,5,medium,high,medium,high,medium,high,3.0,2.4
48,Did we receive the proposal from Gary Smith yet?,Let Gary Smith know today if you want him.,8,2,Have you scheduled the meeting with Gary Smith yet?,Let Gary Smith know today if you want him.,8,2,Let Gary Smith know today if you want him.,6,mid,1.0,9,medium,low,medium,high,low,low,1.4,1.6
49,can you forward the meeting minutes to Andy Edison and Stuart Zisman?,Please forward to Andy Edison and Stuart Zisman.,9,2,Have you received the latest market analysis report?,Please forward to Andy Edison and Stuart Zisman.,7,2,Please forward to Andy Edison and Stuart Zisman.,3,low,7.0,8,low,medium,low,high,low,medium,2.2,1.4
50,did you receive the latest project report?,I can't get attachments - please send text copy.,8,2,I'm unable to download the attached file. Could you please send the link or text version?,I can't get attachments - please send text copy.,10,2,I can't get attachments - please send text copy.,4,mid,8.0,9,medium,low,low,low,high,low,1.0,1.4
51,how are the dynamics in our team's meeting last night?,How are we handling others in that group?,8,1,Their behavior in the team meeting was unprofessional.,How are we handling others in that group?,7,2,How are we handling others in that group?,6,mid,3.0,8,low,high,low,low,low,low,1.8,1.8
52,can you help me with my math homework?,don't make it harder than it needs to be.,8,1,The instructions for this task seem complicated.,Don't make it harder than it needs to be.,8,2,Don't make it harder than it needs to be.,6,mid,1.0,9,low,low,low,high,low,low,1.4,1.0
53,can we watch the movie tonight?,OK by me.,6,1,Shall we meet at the usual place tomorrow?,OK by me.,10,1,OK by me.,7,high,1.0,3,low,low,low,low,high,low,1.0,1.0
54,have you noticed any issues with our production server today?,Is the system running OK this morning?,5,2,I noticed some issues with the database last night.,Is the system running OK this morning?,6,3,Is the system running OK this morning?,5,mid,4.0,7,medium,high,medium,high,medium,low,2.2,2.4
55,when will she finish the project?,Is she done yet?,9,2,Sarah finished baking the apple pie. Is she done yet?,Is she done yet?,10,1,Is she done yet?,10,high,0.0,4,low,medium,low,high,low,low,1.8,1.4
56,What are the details of the upcoming meeting?,Need for McMahon meeting at 1.,8,2,Let's meet next week to discuss the McMahon project agenda.,Ned for McMahon meeting at 1.,10,1,Ned for McMahon meeting at 1.,4,mid,2.0,6,low,high,medium,high,low,low,2.2,2.0
57,have we finalized the contracts yet?,Do you have copies of the agreements?,8,1,I believe we need to review the terms of our business partnership again.,Do you have copies of the agreements?,8,2,Do you have copies of the agreements?,5,mid,3.0,7,medium,high,medium,low,high,medium,2.2,2.4
58,Can you please confirm the new project deadline?,Thanks for the quick turnaround.,8,2,I've finished the report ahead of schedule.,Thanks for the quick turnaround.,8,1,Thanks for the quick turnaround.,8,high,2.0,5,low,medium,high,high,high,low,1.8,1.8
59,Are you looking forward to the long weekend ahead?,Have a good weekend.,9,1,I'm planning an outdoor barbecue for this weekend.,Have a good weekend.,10,2,Have a good weekend.,6,mid,1.0,4,low,medium,medium,high,low,low,1.8,1.6
60,I'm feeling unwell today,How are you?,8,2,I've been thinking about our project deadline,How are you?,8,2,How are you?,8,high,1.0,3,low,low,low,high,low,high,2.2,1.0
61,Are you free on Friday?,See you on Friday.,9,1,I'll be at the office all week preparing for the big project.,See you on Friday.,10,2,See you on Friday.,6,mid,1.0,4,low,high,medium,high,low,medium,2.6,2.0
62,the fire alarm just went off in the building,I better go.,8,2,It's raining cats and dogs outside.,I better go.,7,2,I better go.,7,high,1.0,3,medium,high,low,high,low,high,3.0,2.2
63,Did you hear about the latest Enron scandal?,More bad Enron news?,8,2,Did you hear the CEO of Enron resigned suddenly?,More bad Enron news?,8,3,More bad Enron news?,6,mid,1.0,4,medium,medium,low,high,medium,high,2.6,1.8
64,Are we on the same page with our project timeline?,I think we are doing OK.,8,2,Your presentation seems well-prepared,I think we are doing OK.,8,2,I think we are dong OK.,2,low,2.0,6,low,medium,medium,high,low,low,1.8,1.6
65,When do Michael's school performances start?,Michael has his holiday performance.,8,2,Did you hear about Michael's upcoming presentation at the conference?,Michael has his holiday performance.,5,3,Michael has his holiday performance.,6,mid,11.0,5,low,low,low,high,low,medium,1.8,1.0
66,do you ever feel like you're stuck in a rut?,Not just 1 to 2.,6,2,How many books do you usually read in a week?,Not just 1 to 2.,8,2,Not just 1 to 2.,7,high,2.0,5,low,low,low,low,low,low,1.0,1.0
67,What are the key takeaways from our last meeting?,Here's the talking points for ANNGTC.,6,3,Have you prepared the presentation for ANNGTC's quarterly report?,Here's the talking points for ANNGTC.,7,2,Here's the talking points for ANNGTC.,1,low,2.0,6,low,high,medium,low,low,low,1.8,2.0
68,can we reschedule for next monday?,The only change would be the date.,8,2,Let's plan a meeting next week.,The only change would be the date.,10,2,The only change would be the date.,5,mid,3.0,7,medium,high,medium,high,low,medium,2.6,2.4
69,What are the key rules governing financial transactions?,The filing concerns various scheduling and balancing rules.,6,2,Have you reviewed the new accounting regulations?,The filing concerns various scheduling and balancing rules.,7,2,The filing concerns various scheduling and balancing rules.,0,low,13.0,8,medium,high,medium,high,low,low,2.2,2.4
70,I've just received my exam results and I'm really nervous!,You'll be OK.,8,2,I've failed my exam,You'll be OK.,10,2,You'll be OK.,4,mid,1.0,3,low,medium,low,low,low,medium,1.8,1.4
71,Can you please review the latest sales figures for our quarterly report?,Please send to Hartsoe for comment.,4,2,I've noticed some inconsistencies in the marketing campaign data.,Please send to Hartsoe for comment.,8,2,Please send to Hartsoe for comment.,2,low,2.0,6,low,low,low,low,low,low,1.0,1.0
72,Are we finally heading out to SXSW tomorrow?,We are headed to Austin tomorrow.,6,2,Have you made plans for the weekend?,We are headed to Austin tomorrow.,5,2,We are headed to Austin tomorrow.,6,mid,5.0,6,low,high,medium,high,low,medium,2.6,2.0
73,Have you spoken to Ginger lately?,I didn't hear from Ginger this week.,6,2,Did you receive an email from Project Team about the meeting reschedule?,I didn't hear from Ginger this week.,5,3,I didn't hear from Ginger this week.,5,mid,3.0,7,low,low,low,high,low,medium,1.8,1.0
74,What lies at the heart of all destruction?,Thus have nothing to destroy.,6,2,Do you believe in the power of redemption?,Thus have nothing to destroy.,5,2,Thus have nothing to destroy.,7,high,2.0,5,low,low,low,high,low,low,1.4,1.0
75,can you see the road ahead?,Very foggy this AM.,6,2,Can you believe it's already morning?,Very foggy this AM.,6,2,Very foggy this AM.,6,mid,1.0,4,low,high,medium,high,low,medium,2.6,2.0
76,How well does the CEO know about our latest project?,He is pretty tapped into it all.,6,2,John has been studying artificial intelligence for years.,He is pretty tapped into it all.,7,2,He is pretty tapped into it all.,5,mid,3.0,7,medium,medium,medium,low,low,medium,1.8,2.0
77,When do you expect to be back from your trip?,I am out of town until Friday.,7,1,I was wondering if you could help me out with an important task on Thursday.,I am out of town until Friday.,7,2,I am out of town until Friday.,5,mid,3.0,7,low,high,low,medium,low,medium,2.4,1.8
78,Will you be going on a date with Linda tonight?,Wish me luck with Linda.,6,2,I have an important interview with Linda tomorrow.,Wish me luck with Linda.,9,2,Wish me luck with Linda.,7,high,0.0,5,low,low,low,high,low,medium,1.8,1.0
79,are you in the middle of playing a game?,"Yes, I am playing.",9,1,Are you at the game right now?,"Yes, I am playing.",10,1,"Yes, I am playing.",8,high,1.0,4,medium,high,high,low,high,high,2.6,2.6
80,Can we discuss the details of my project over the phone?,Can you call me at home?,8,2,I've found an important email from your boss,Can you call me at home?,9,2,Can you call me at home?,7,high,0.0,6,low,medium,low,high,low,medium,2.2,1.4
81,Have you been busy lately?,Mostly a social call.,8,1,"I was thinking about planning our next hike, which trail would you prefer?",Mostly a social call.,10,2,Mostly a social call.,7,high,2.0,4,low,low,low,low,low,low,1.0,1.0
82,When are we signing the documents?,We will sign tomorrow and fund Tuesday.,8,2,Have you approved the final terms of the contract?,We will sign tomorrow and fund Tuesday.,8,2,We will sign tomorrow and fund Tuesday.,5,mid,4.0,7,low,high,medium,high,medium,high,3.0,2.0
83,are we there yet?,I'm still in FW.,8,3,Are you at the factory yet?,I'm still in FW.,8,1,I'm still in FW.,5,mid,0.0,4,medium,high,high,low,low,medium,2.2,2.6
84,Can you help me understand the credit rating process?,Can you rough out a slide on rating agencies?,8,3,"Given the current economic climate, what role do you think rating agencies play in investors' decision-making?",{'canYouRoughOutASlideOnRatingAgencies': ''},8,2,Can you rough out a slide on rating agencies?,4,mid,4.0,9,low,high,medium,high,low,medium,2.6,2.0
85,Can we discuss the meeting agenda for tomorrow?,Please call tomorrow if possible.,6,1,I'd like to discuss the details of our upcoming project.,Please call tomorrow if possible.,8,2,Please call tomorrow if possible.,8,high,8.0,5,low,low,low,high,low,medium,1.8,1.0
86,have you ever felt like nothing's going right?,We are all fragile.,6,2,Do you think we can handle the pressures of modern life?,We are all fragile.,7,2,We are all fragile.,8,high,1.0,4,medium,medium,medium,high,low,low,1.8,2.0
87,Can we go to the movies tonight?,Depends on price.,7,1,How much does the latest iPhone model cost?,Depends on price.,10,2,Depends on price.,7,high,1.0,3,low,low,low,medium,low,medium,1.6,1.0
88,when will our project be finished?,It will probably be tomorrow.,8,2,I forgot my appointment schedule.,It will probably be tomorrow.,8,2,It will probably be tomorrow.,6,mid,8.0,5,medium,medium,low,low,low,medium,1.8,1.8
89,Did you see the thrilling game-winning goal in the football match yesterday?,Pretty impressive win!,8,3,You scored the winning goal in the championship match!,Pretty impressive win!,10,1,Pretty impressive win!,7,high,12.0,3,medium,high,high,high,high,low,2.2,2.6
90,can you attend the annual corporate party on friday?,I would like to attend if so.,6,1,Will the seminar on machine learning be held next month?,I would like to attend if so.,10,2,I would like to attend if so.,8,high,0.0,7,low,medium,medium,low,low,medium,1.8,1.6
91,are you still mad at me for forgetting your birthday?,It better not be about me!,8,2,I heard you've been spreading rumors at work,It better not be about me!,10,2,It better not be about me!,5,mid,1.0,6,medium,high,low,high,low,low,2.2,2.2
92,Did Ronaldo play well in the match?,He played goalie almost the entire game.,6,2,Did Johnson make every save during the soccer match?,He played goalie almost the entire game.,7,1,He played goalie almost the entire game.,7,high,3.0,7,medium,low,low,high,medium,low,1.4,1.4
93,The city's latest budget seems to prioritize infrastructure development over social welfare initiatives.,Did you read the Chronicle this AM?,5,2,I just finished the new article in the New York Times about artificial intelligence.,Did you read the Chronicle this AM?,8,2,Did you read the Chronicle this AM?,4,mid,3.0,7,low,high,medium,low,low,low,1.8,2.0
94,can you return earlier today?,I can return earlier.,8,1,"Your flight is delayed, can you still make it to the meeting?",I can return earlier.,6,2,I can return earlier.,8,high,2.0,4,medium,high,low,low,low,high,2.6,2.2
95,can you please retry my password?,I am trying again.,4,1,Can you solve the equation 2x + 3 = 7?,I am trying again.,8,2,I am trying again.,9,high,1.0,4,low,low,low,low,low,medium,1.4,1.0
96,"I'm running late for our meeting, can you meet me at the usual spot?",I am in 50M if you need me.,6,2,Can you help me find the address of the new library?,I am in 50M if you need me.,7,2,I am in 50M if you need me.,7,high,0.0,8,low,high,low,low,low,medium,2.2,1.8
97,are you feeling the presence of God?,I am on my way to Heaven.,8,2,Have you reached the pearly gates yet?,I am on my way to Heaven.,1,3,I am on my way to Heaven.,5,mid,0.0,7,low,medium,low,high,medium,medium,2.2,1.4
98,Can you please help me with the agenda for today's meeting?,Would you mind taking the lead on this?,4,3,I've been having trouble understanding this report. Could you please explain it to me?,Would you mind taking the lead on this?,8,2,Would you mind taking the lead on this?,7,high,3.0,8,low,medium,low,high,low,low,1.8,1.4
99,Are you free to meet on Thursday October 25?,I'll see you Thursday October 25.,8,3,Let's meet up to discuss the project proposal next week.,I'll see you Thursday October 25.,8,2,I'll see you Thursday October 25.,3,low,5.0,6,low,high,medium,high,medium,high,3.0,2.0
100,The judge held the gavel tightly in her hand.,What does 'held' mean?,4,3,I've been holding this position for hours,What does 'held' mean?,8,2,"What does ""held"" mean?",7,high,0.0,4,low,high,low,high,low,medium,2.6,1.8
101,Do you think I'll have time to wrap up my project by Monday?,Probably can handle Monday PM.,6,2,Can you help me with the project presentation next Monday afternoon?,Probably can handle Monday PM.,10,2,Probably can handle Monday PM.,8,high,8.0,5,medium,medium,medium,low,medium,low,1.4,2.0
102,Are you bringing the necessary equipment for our meeting?,I will bring John Brindle.,7,2,Have you forgotten to invite John Brindle to the meeting?,I will bring John Brindle.,10,1,I will bring John Brindle.,8,high,2.0,5,medium,low,low,high,medium,low,1.4,1.4
103,can you confirm your phone number?,936 597 3905,8,3,I need to call this number in an emergency,936 597 3905,10,1,936 597 3905,6,mid,1.0,3,high,high,medium,high,high,high,3.0,2.8
104,What's going on with John?,Need you or John to step out.,8,2,John mentioned he left his keys at your place.,Need you or John to step out.,5,2,Need you or John to step out.,7,high,3.0,7,low,medium,low,high,low,medium,2.2,1.4
105,What are the implications of not disclosing our financial situation?,We probably have to discuss trade behavior and margin.,6,3,The stock market has experienced significant volatility lately.,We probably have to discuss trade behavior and margin.,8,3,We probably have to discuss trade behavior and margin.,5,mid,8.0,9,medium,medium,low,high,low,medium,2.2,1.8
106,did you find the map?,Chad thought we were on a treasure hunt.,7,3,Let's follow the map to find the hidden garden.,Chad thought we were on a treasure hunt.,5,2,Chad thought we were on a treasure hunt.,6,mid,4.0,8,low,medium,medium,high,low,low,1.8,1.6
107,Did Bofa offer you a good deal?,Offered 92.5 BPS in fees to Bofa this AM.,6,3,Have you heard about the new banking fees from Bank of America?,Offered 92.5 BPS in fees to Bofa this AM.,1,2,Offered 92.5 BPS in fees to Bofa this AM.,4,mid,4.0,9,medium,medium,low,low,low,low,1.4,1.8
108,Why did you decide to become a geologist?,He would love anything about rocks.,5,2,Have you seen the new geology exhibit at the museum?,He would love anything about rocks.,8,2,He would love anything about rocks.,10,high,7.0,6,medium,high,medium,low,low,low,1.8,2.4
109,Did you eat the last slice of pizza?,Of course not,6,2,Are you lying to me right now?,Of course not,10,2,Of course not,7,high,1.0,3,low,low,low,low,low,medium,1.4,1.0
110,Do you hear the music at the party?,What do you hear?,8,2,The wind whispers through the trees.,What do you hear?,7,1,What do you hear?,8,high,0.0,4,low,medium,low,medium,low,medium,2.0,1.4
111,I'm feeling overwhelmed with work today. Can you help me prioritize my tasks?,Thanks I needed that today!,6,1,Have you read the latest research on mental health?,Thanks I needed that today!,5,3,Thanks I needed that today!,5,mid,3.0,5,low,high,medium,low,low,low,1.8,2.0
112,Can you please review the proposals I sent last week?,I will review them on Monday.,7,2,Have you finished reviewing the marketing reports for next quarter?,I will review them on Monday.,8,2,I will review them on Monday.,5,mid,2.0,6,low,medium,low,low,medium,medium,1.8,1.4
113,I'm thinking of moving back to my hometown.,Maybe I should just stay there for good.,6,2,"You've been living in that city for years now, don't you think it's time to move on?",Maybe I should just stay there for good.,3,2,Maybe I should just stay there for good.,6,mid,0.0,8,low,identical,low,medium,low,low,1.2,1.0
114,Can you meet me at the park today?,My only constraint is Chad's noon soccer game.,7,2,Can we meet at the park after your soccer game on Saturday?,My only constraint is Chad's noon soccer game.,5,1,My only constraint is Chad's noon soccer game.,6,mid,6.0,8,low,high,medium,high,low,low,2.2,2.0
115,Can you help me contact Rick?,"No problem Maria, please contact Rick.",8,1,The printer is not working properly. Can you help me fix it?,"No problem Maria, please contact Rick.",10,1,"No problem Maria, please contact Rick.",6,mid,2.0,6,low,identical,low,low,low,medium,1.4,1.0
116,Will you be able to make it to the family gathering tomorrow?,I'll call you when I get downstairs tomorrow AM.,6,2,I need you to bring the keys when you come over tonight.,I'll call you when I get downstairs tomorrow AM.,5,2,I'll call you when I get downstairs tomorrow AM.,4,mid,4.0,9,low,high,low,high,low,low,2.2,1.8
117,where did you get your phone number?,203 561 9796- cell,4,3,Can you give me your cell phone number to set up our dinner plans?,203 561 9796- cell,10,1,203 561 9796- cell,1,low,-3.0,4,low,high,medium,high,high,low,2.2,2.0
118,Did you receive my work email?,A bit behind on my emails.,5,2,Have you finished processing that report?,A bit behind on my emails.,5,2,A bit behind on my emails.,7,high,2.0,6,low,medium,medium,medium,low,medium,2.0,1.6
119,where do you want to go for dinner?,Then we can go to Zainy Brainy.,7,2,Let's discuss some complex concepts. I believe the human brain is capable of incredible feats.,Then we can go to Zainy Brainy.,5,3,Then we can go to Zainy Brainy.,7,high,3.0,7,low,low,medium,high,low,low,1.4,1.2
120,How was your trip to Florida?,Hope your trip to Florida was good.,6,1,I just got back from the Miami heat game.,Hope your trip to Florida was good.,8,2,Hope your trip to Florida was good.,8,high,3.0,7,low,high,medium,high,low,low,2.2,2.0
121,I am stuck in a meeting that seems to have no end!,"Hi, how are things there?",8,1,I've just received some disappointing news from my boss about the project deadlines.,"Hi, how are things there?",8,3,"Hi, how are things there?",6,mid,2.0,5,low,low,low,high,low,low,1.4,1.0
